c_bits	c_measured	v_bits	v_measured	data_buffer_length = 20
0.8	0.27		189	6.98		25 ohm
0.9	0.30		209	7.71
1.0	0.35		240	8.85
1.2	0.40		278.3	10.22
1.4	0.45		309	11.34
1.8	0.50		347	12.7
2.0	0.55		385.5	14.10
2.3	0.60		416	15.22
2.7	0.65		450	16.44
3.0	0.70		486	17.78
3.2	0.75		521	19.05
3.6	0.80		557	20.34
3.9	0.85		589	21.51
4.2	0.90		620	22.64
4.6	0.95		661	24.11
4.8	1.00		689	25.17
5.1	1.05		725	26.45
5.4	1.10		762	27.78
5.8	1.15		797	29.13
6.1	1.20		830	30.26

3.5	0.69		190.9	7.03		10 ohms
4.2	0.80		223	8.20
4.9	0.90		250	9.20
5.4	1.00		277	10.17
6.0	1.10		307	11.25
6.7	1.20		336	12.31
7.2	1.31		364	13.34
7.9	1.40		392	14.34
8.5	1.50		420	15.38
9.2	1.60		449	16.42
9.8	1.70		477	17.43
10.4	1.80		503	18.40
11.2	1.90		533	19.47
11.9	2.00		561	20.50
12.5	2.10		591	21.57
13.1	2.20		620	22.63
13.9	2.31		650	23.71
14.4	2.40		678	24.72
15.2	2.50		707	25.78
15.8	2.60		735	26.79
16.3	2.70		763	27.88
17	2.80		794	28.95
17.6	2.90		822	29.97

0	0.15		189	6.98		25+10+10 ohms
0	0.20		257	9.44
0.1	0.25		314	11.52
0.2	0.30		379	13.88
0.6	0.35		440	16.10
1.0	0.40		506	18.49
1.2	0.45		573	20.92
1.5	0.50		633.3	23.12
2.1	0.60		762	27.80
2.5	0.66		835	30.43

0.7	0.26		190	7.01		25+10 ohms
0.8	0.30		219.8	8.08
1.1	0.40		289	10.60
1.8	0.50		360	13.18
2.4	0.61		433.9	15.87
3.0	0.70		501	18.31
3.6	0.8		569.9	20.80
4.2	0.91		648	23.64
4.9	1.00		714	26.03
5.6	1.10		788	28.73
6.0	1.17		832	30.31

1.1	0.33		189	6.97		10+10 ohms
1.2	0.35		198.5	7.32
1.4	0.40		225.2	8.29
1.7	0.45		254	9.34
2.0	0.50		280.2	10.29
2.2	0.55		311	11.40
2.5	0.61		342	12.54
3.1	0.70		396.9	14.51
3.9	0.81		455	16.63
4.4	0.90		511	18.67
5.0	1.01		567	20.71
5.7	1.10		620	22.63
6.2	1.20		678.9	24.75
7.0	1.30		736	26.84
7.5	1.40		792.5	28.88
7.9	1.47		830	30.27

5.3	0.94		190	7.00		10 // 25 ohms
5.7	1.00		200.9	7.39
6.2	1.10		222	8.17
6.9	1.20		243	8.93
7.5	1.30		263	9.67
8.0	1.40		283	10.39
8.8	1.50		304	11.14
9.3	1.60		324	11.89
10	1.70		345	12.64
10.8	1.81		366	13.41
11.3	1.91		386	14.13
12	2.00		406	14.86
12.7	2.11		427	15.63
13.4	2.21		448	16.37
14	2.30		467	17.09
14.6	2.40		488	17.83
15.3	2.50		508.9	18.59
16	2.61		530	19.35
16.6	2.71		552	20.15
17.2	2.80		569	20.80
17.9	2.90		589.9	21.53
18.6	3.01		612	22.34
19.2	3.11		633	23.11
19.9	3.21		653.1	23.84
20.6	3.31		674.9	24.61
21.1	3.40		694.9	25.33
21.8	3.50		714	26.05
22.5	3.61		736	26.85
23.2	3.71		759	27.66
23.9	3.82		781	28.48
24.5	3.91		800	29.15
25.0	4.00		820	29.90

8.0	1.35		190	7.00		10 // 10 ohms
8.4	1.40		197.7	7.28
9.0	1.50		212	7.81
9.8	1.60		226.9	8.34
10.3	1.71		242	8.89
11	1.81		255.9	9.39
11.5	1.90		269	9.87
12.2	2.00		283	10.39
12.9	2.11		298.9	10.96
13.6	2.21		312	11.45
14.2	2.30		326	11.96
14.9	2.41		342	12.52
15.5	2.52		358	13.10
16.0	2.61		370	13.56
16.7	2.70		383	14.01
17.4	2.81		399	14.60
18	2.92		414.5	15.16
18.8	3.01		428	15.65
19.4	3.11		443	16.21
20.	3.21		457	16.71
20.8	3.31		471	17.22
21.2	3.40		485	17.72
22	3.51		500	18.28
22.7	3.60		513	18.75
23.3	3.72		530	19.37
24	3.83		546.2	19.96
24.8	3.91		558	20.38
25.3	4.01		573	20.92
26	4.11		587.7	21.46
26.7	4.20		602	21.97
27.4	4.30		616	22.50
28	4.41		632	23.08
28.8	4.50		645	23.55
29.3	4.61		661	24.11
30	4.70		675	24.61
30.7	4.81		691	25.21
31.3	4.91		705	25.72
32	5.00		719.7	26.24
32.6	5.11		736	26.84
33.4	5.21		750	27.35
34	5.31		765.8	27.92
34.8	5.41		781	28.48
35.4	5.51		796	29.01
35.9	5.60		809	29.50
36	5.63		814	29.67

9.9	1.60		189	6.98		10 // 10 // 25 ohms
11	1.81		214.5	7.89
12.4	2.02		239	8.77
13.8	2.23		263	9.67
15	2.40		284.6	10.44
16.1	2.60		308	11.30
17.5	2.80		332	12.17
18.9	3.01		357	13.06
20.1	3.21		380.5	13.93
21.5	3.41		404.9	14.80
22.8	3.61		428	15.65
24	3.81		452	16.53
25.5	4.01		476	17.40
26.9	4.21		500	18.28
28.1	4.41		524	19.16
29.5	4.62		549	20.05
30.8	4.80		570	20.83
32.1	5.02		597	21.81
33.4	5.21		621.5	22.69
34.7	5.41		645	23.55
36	5.61		670	24.44
37.3	5.80		693	25.29
38.7	6.00		717	26.16
40	6.21		742.3	27.07
41.4	6.42		768	28.00
42.8	6.61		791	28.86
43.6	6.75		809	29.49

14.7	2.31		191	7.05		10 // 10 // 10 // 25 ohms
16	2.53		210	7.74
16.5	2.63		218	8.02
17.9	2.83		235	8.64
19.2	3.04		253	9.29
20.7	3.25		270	9.92
21.9	3.42		284.4	10.44
23	3.63		302	11.08
24.5	3.83		319	11.69
25.8	4.02		335	12.27
27	4.21		351	12.85
28.5	4.43		369	13.51
29.8	4.63		386	14.13
31	4.82		402	14.70
32.2	5.01		417.9	15.28
33.6	5.22		435	15.92
34.9	5.41		451	16.50
36	5.61		468	17.10
37.7	5.82		486	17.77
38.9	6.02		501.9	18.33
40.4	6.23		520	19.01
41.8	6.45		538.9	19.68
43	6.64		554	20.24
44.3	6.83		570.7	20.83
45.9	7.04		588.9	21.50
47	7.22		604	22.04
48.1	7.42		620	22.64
49.5	7.61		637	23.25
50.7	7.81		653	23.84
51.5	7.92		662	24.16

