v		v_measured
168		6.20
175		6.47
183		6.75
190		7.00
197		7.27
203		7.47
211		7.78
217		8.00
225		8.26
231		8.49
238		8.75
244		8.99
252		9.25
259		9.51
266		9.77
272		9.98
279		10.25
286		10.50
293		10.76
300		11.01
307		11.25
314		11.51
321		11.77
328		12.01
334		12.24
341		12.51
349		12.77
355		13.00
362		13.25
368		13.48
376		13.76
383		14.02
389		14.25
396		14.50
404		14.79
411		15.02
417		15.26
424		15.51
432		15.79
438		16.02
444		16.26
451		16.49
458		16.75
465		17.02
472		17.25
479		17.50
486		17.76
493		18.03
500		18.27
507		18.52
513		18.75
520		18.99
528		19.28
535		19.53
542		19.80
548		20.01
555		20.28
562		20.52
568		20.75
576		21.05
583		21.28
588		21.48
595		21.74
603		22.02
610		22.27
617		22.53
623		22.75
632		23.06
637		23.25
645		23.53
652		23.78
658		24.00
665		24.27
673		24.55
686		25.02
693		25.29
699		25.51
706		25.75
713		26.02
720		26.26
728		26.54
734		26.77
741		27.03
750		27.34
755		27.54
762		27.79
769		28.03
776		28.29
784		28.58
790		28.80
796		29.01
802		29.25
810		29.52
816		29.76
824		30.03
828		30.17




