v		v_measured
166		6.41
176		6.78
182		7.00
189		7.24
196		7.50
204		7.78
210		8.00
217		8.25
224		8.51
230		8.73
237		8.99
244		9.25
251		9.49
258		9.75
264		9.99
272		10.26
278		10.50
286		10.78
292		10.98
299		11.24
306		11.50
313		11.75
320		12.00
327		12.26
333		12.49
341		12.77
348		13.01
355		13.27
362		13.53
369		13.78
376		14.03
382		14.25
388		14.49
396		14.76
402		14.99
409		15.24
416		15.50
424		15.78
431		16.02
437		16.26
444		16.50
451		16.77
458		17.03
465		17.27
472		17.52
478		17.75
486		18.03
492		18.26
499		18.52
506		18.76
513		19.01
520		19.27
527		19.50
534		19.79
541		20.03
548		20.28
555		20.52
561		20.75
568		21.00
575		21.27
583		21.54
590		21.80
596		22.02
602		22.23
609		22.50
616		22.76
623		23.00
630		23.26
637		23.53
644		23.77
651		24.03
657		24.24
663		24.49
670		24.75
678		25.02
684		25.26
691		25.52
698		25.76
705		26.03
712		26.28
718		26.50
725		26.76
732		27.00
739		27.26
746		27.52
754		27.79
760		28.03
767		28.27
773		28.50
780		28.76
788		29.04
794		29.25
801		29.53
802		29.56
