v_bits	c_bits	v_measured	c_measured
262.0	136.0286	9.96	3.29
399.0	205.67844999999997	15.06	4.92
532.0	273.9428	20.02	6.53
653.16445	336.657	24.54	8
629.0	324.27875000000006	23.63	7.7
567.0	292.53565	21.32	6.96
588.0	303.29315	22.10	7.21
659.0143	340.00715	24.77	8.07
266.28585000000004	96.63554999999998	9.98	2.35
395.27869999999996	142.51420000000002	14.73	3.43
547.97855	196.93564999999998	20.35	4.71
663.0	238.12865000000002	24.6	5.68
813.9714	292.22880000000004	30.17	6.95
760.0	272.9428	28.19	6.49
527.0	189.443	19.6	4.53
431.9714	155.25735000000003	16.07	3.73
330.0	119.22160000000001	12.31	2.88
444.0	159.82124999999996	16.53	3.84
729.0	261.72835	27.04	6.23
260.54999999999995	78.85699999999999	9.73	1.92
402.0	119.90704999999998	14.93	2.9
433.45715	129.23590000000004	16.09	3.12
556.0	165.35025000000005	20.6	3.97
681.0	202.59984999999998	25.21	4.84
823.0143	244.94995	30.45	5.84
742.20015	220.82839999999996	27.46	5.27
613.0143	182.08575000000002	22.72	4.36
560.9285	166.5642	20.78	4
482.0	143.4786	17.89	3.45
383.0	114.18590000000002	14.24	2.76
340.0	101.62849999999999	12.64	2.46
531.0	157.8284	19.68	3.79
635.0	188.60694999999998	23.5	4.51
740.69995	220.0	27.4	5.25
802.00715	238.17160000000004	29.66	5.68
660.0	195.99285	24.44	4.69
279.97855	42.2858	10.38	1.07
407.0	60.97855	15.04	1.5
569.0	84.94279999999999	20.99	2.07
665.9285	99.11440000000002	24.5	2.41
805.0	119.9857	29.6	2.9
754.0	112.143	27.74	2.72
614.0	91.45015000000004	22.62	2.22
691.7927	102.97139999999999	25.45	2.49
578.7284	86.0429	21.32	2.1
501.60699999999997	74.88559999999998	18.5	1.83
432.0	64.54995	15.95	1.59
361.0	54.028600000000004	13.36	1.36
613.4929500000001	91.30724999999998	22.6	2.22
693.0	103.0143	25.5	2.5
774.0	115.05720000000001	28.47	2.78
713.0	106.0	26.24	2.57
761.0	113.02860000000001	27.99	2.74
