v_bits	c_in_bits	c_out_bits	v_meas	c_meas
175.95	0.0	0.0	12.45	.05
225.0	0.0	0.0	15.9	.05
276.0	0.0	0.0	19.45	.04
337.0	0.0	0.0	23.67	.04
369.0	0.0	0.0	25.94	.19
319.0	0.0	0.0	22.44	.04
387.05	0.0	0.0	27.20	.1
387.15	0.0	0.0	27.21	.2
429.7	0.0	0.0	30.13	.22
380.0	0.0	0.0	26.67	.19
358.0	0.0	0.0	25.19	.17
295.0	0.0	0.0	20.77	.04
315.1	0.0	0.0	22.19	.04
315.0	12.6	12.25	22.15	.93
235.25	9.05	9.05	16.61	.71
181.75	6.8	6.2	12.87	.56
126.0	4.0	4.0	9.03	.41
212.0	8.0	8.0	15	.65
268.05	10.4	10.25	18.93	.8
339.9	14.0	14.1	23.88	1.04
374.55	17.0	17.05	26.32	1.24
434.85	20.6	20.0	30.51	1.44
394.05	18.0	18.1	27.68	1.31
352.0	16.0	16.0	24.72	1.17
296.05	12.0	11.7	20.87	.88
266.0	10.3	10.1	18.76	.79
301.6	12.0	11.95	21.23	.89
335.15	13.65	13.15	23.59	.98
389.05	16.75	16.45	27.35	1.19
224.0	34.0	34.0	15.84	2.24
249.15	38.0	37.95	17.61	2.49
264.0	40.2	40.05	18.64	2.63
312.75	48.0	48.0	22.01	3.09
354.0	55.9	55.55	24.9	3.54
354.0	56.0	56.0	24.89	3.63
384.0	61.0	61.0	26.99	3.92
431.95	68.95	68.6	30.32	4.41
399.1	64.0	63.75	28.05	4.09
419.05	66.95	66.5	29.44	4.28
365.0	58.05	57.9	25.66	3.72
339.0	53.0	53.0	23.86	3.42
353.0	56.0	56.0	24.85	3.61
372.0	59.0	59.0	26.17	3.79
404.95	64.55	64.05	28.46	4.13
430.9	68.6	68.2	30.25	4.385
391.7	61.9	61.9	27.52	2.99
343.0	53.9	53.2	24.15	3.46
263.0	40.0	40.0	18.56	2.6
215.95	32.15	32.1	15.25	2.15
236.8	35.9	35.8	16.72	2.35
235.0	62.0	61.55	16.6	3.94
216.95	57.0	56.55	15.33	3.64
264.0	69.15	69.05	18.62	4.41
316.0	83.05	83.0	22.24	5.25
387.95	104.0	104.0	27.27	6.56
408.05	109.75	109.5	28.70	6.91
355.0	95.0	95.0	24.98	6.01
368.0	98.65	98.0	25.87	6.22
293.0	110.0	110.0	20.66	6.92
348.0	132.25	132.0	24.53	8.29
319.1	120.25	120.0	22.51	7.53
294.8	111.0	110.95	20.79	6.96
313.3	118.0	118.0	22.10	7.4
347.8	132.0	131.15	24.48	8.24
348.0	132.25	132.0	24.53	8.3
323.0	122.0	121.2	22.76	7.62
298.0	112.0	112.0	21.02	7.04
310.15	117.0	116.7	21.89	7.33
328.0	123.95	123.45	23.13	7.75
331.0	86.5	86.1	23.32	5.47
392.9	104.6	104.25	27.63	6.55
393.0	104.95	104.8	27.64	6.63
428.95	114.5	114.15	30.14	7.23
284.0	74.05	74.0	20.06	4.71
313.3	82.0	81.9	22.09	5.18
366.0	96.75	96.0	25.78	6.08
373.0	0.0	0.0	26.22	.19
